Time	Day	Name	Location	Address	City	State	Country	Region	Types	Notes
1:00 PM	Sunday	MANHASSET NORTH SHORE	Ext. Care Facility & Rehabilitation Center	330 Community Drive	Manhasset	NY	US	N	OD = Open Discussion meeting<br>	Cross street: <br>Notes: <br><br>
1:00 PM	Sunday	GET FREE	Arden Heights Jewish Center	1766 Arthur Kill Road	Staten Island	NY	US	SI	C = Closed Discussion meeting<br>	Cross street: (@ Arden Avenue)<br>Notes: <br><br>
1:00 PM	Sunday	GREENWOOD	Clubhouse	367 20th Street	Brooklyn	NY	US	BK	C = Closed Discussion meeting<br>Women	"Cross street: (Off of 7th Avenue)<br>Notes: Sun.11am=Men, Sun.2pm & Thu.8:30pm=Women<br><br>"
1:00 PM	Sunday	PERRY STREET WORKSHOP		"50 Perry Street, Ground Floor"	New York	NY	US	M	C = Closed Discussion meeting<br>Children Welcome	Cross street: (Betw. 7th Avenue South & West 4th Street)<br>Notes: No 8:30 or 10:15 1st Wed of month due to Bus. meeting<br>Wed.10:15pm=No BB 1st Wed.<br>
1:00 PM	Sunday	HARLEM 1 PM RECOVERY	Veterans Residence	"22 East 119th Street,  1st Floor Cafeteria"	New York	NY	US	M	T = Tradition meeting<br>	Cross street: (Betw. Madison & 5th Avenues)<br>Notes: ID REQUIRED TO ENTER BUILDING<br><br>
1:00 PM	Sunday	BRONXVILLE MIRACLES OF MENTAL HEALTH	Sarah Lawrence College	"1 Mead Way, 2nd Floor, Sheffield Room #22"	Bronxville	NY	US	W	C = Closed Discussion meeting<br>	Cross street: (@ Mead Way & Bronxville Road)<br>Notes: Wed & Sat =Step/Big Book<br><br>
1:00 PM	Sunday	GRUPO LOS VENCEDORES	Martin Luther King Building	1285 Fulton Avenue	Bronx	NY	US	BX	S = Step meeting<br>	Cross street: 169th Street<br>Notes: Spanish Speaking Meetings.<br><br>
1:00 PM	Sunday	INSPIRATION	Staten Island Hospital South	"375 Seguine Avenue,  1st Floor Conference Room"	Staten Island	NY	US	SI	OD = Open Discussion meeting<br>	Cross street: (Off of Hylan Blvd.)<br>Notes: <br><br>
1:15 PM	Sunday	FLATLANDS	St. Thomas Aquinas Church	1541 Hendrickson Street	Brooklyn	NY	US	BK	OD = Open Discussion meeting<br>	"Cross street: (@ Flatlands Avenue, enter thru white door in parking lot.)<br>Notes: <br><br>"
1:30 PM	Sunday	SPIRITUALITY IN RECOVERY	Grace Church	254 Hicks Street	Brooklyn	NY	US	BK	C = Closed Discussion meeting<br>	Cross street: (Corner of Hicks and Grace Court)<br>Notes: <br><br>
1:30 PM	Sunday	PRIMETIME NYC (II)		411 East 12th Street	NULL	NULL	US	M	OD = Open Discussion meeting<br>	Cross street: (Between 1st Avenue & Avenue A)<br>Notes: <br><br>
1:30 PM	Sunday	OLD PARK SLOPE CATON		"74 East 17th Street, 2nd Floor"	Brooklyn	NY	US	BK	O = Open meeting<br>	"Cross street: (Off Church Avenue)<br>Notes: Sunday 1:30pm & Sat. 8pm =Open/anniversary;<br>Mon 7pm=1st sponsorship, 2nd & 4th CD, 3rd concepts<br>Tues= Step/Tradition. Tues 7:30 pm= steps 4,11,12."
1:30 PM	Sunday	THE 12th STREET WORKSHOP		"411 East 12th Street, Basement"	NULL	NULL	US	M	OD = Open Discussion meeting<br>	"Cross street: (Betw 1st Avenue & Avenue A)<br>Notes: Sun.4:30=Business Mtg Only 1st & Anniv Last Sunday<br>Sun.7:30pm,Tue.5:30,Wed.8:30pm & Sat.10:30am=11th Step Meditation<br>Mon.5:30=Gratitude & Sat.7:30am=AA Grapevine"
1:45 PM	Sunday	OPEN MIND-OPEN DISCUSSION	First Presbyterian Church of Jamaica	"89-60 164th Street, Magill Hall"	Jamaica	NY	US	Q	S = Step meeting<br>	"Cross street: <br>Notes: Sun.1:30pm=O 1st Sun., 3pm = T 4th Sunday<br><br>"
2:00 AM	Sunday	MIDNITE		"220 West Houston Street, 2nd Floor"	NULL	NULL	US	M	OD = Open Discussion meeting<br>	"Cross street: (Betw 6th Avenue & Varick Street)<br>Notes: Sun.12:30=Meditation, 2am Meetings=Pitch meeting with candlelight.<br>Mon.8pm=Topic, Tues.10pm=T last Tues., Thu.10pm=Problems in Sobriety<br>Sun.8pm=Bus.Meeting last Sun.,Sat.10pm=Anniv.Last"
2:00 PM	Sunday	ALANON HOUSE   (AA Meetings Only)		"303 West 42nd Street, 3rd Floor, Room #306"	NULL	NULL	US	M	C = Closed Discussion meeting<br>Women	Cross street: (@ Corner of 8th Avenue)<br>Notes: Sun.2pm=Women's Meeting<br><br>
